T02,"Population, density and surface area",,,,,
662,Saint Lucia,2010,Population mid-year estimates for males (millions),0.0857,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2010,Population mid-year estimates for females (millions),0.0884,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2010,Sex ratio (males per 100 females),96.9055,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2010,Population aged 0 to 14 years old (percentage),23.2157,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2010,Population aged 60+ years old (percentage),11.8637,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2010,Population density,285.3852,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2017,Population mid-year estimates (millions),0.1810,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2017,Population mid-year estimates for males (millions),0.0891,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2017,Population mid-year estimates for females (millions),0.0918,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2017,Sex ratio (males per 100 females),97.0372,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2017,Population aged 0 to 14 years old (percentage),18.9087,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2017,Population aged 60+ years old (percentage),13.5919,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2017,Population density,296.6459,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2017,Surface area (thousand km2),0.5390,Refers to habitable area. Excludes Saint Lucia's Forest Reserve.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
662,Saint Lucia,2019,Population mid-year estimates (millions),0.1828,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2019,Population mid-year estimates for males (millions),0.0900,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2019,Population mid-year estimates for females (millions),0.0928,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
662,Saint Lucia,2019,Sex ratio (males per 100 females),97.0326,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2019,Population aged 0 to 14 years old (percentage),18.2111,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2019,Population aged 60+ years old (percentage),14.4116,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
662,Saint Lucia,2019,Population density,299.6557,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
663,Saint Martin (French part),2005,Population mid-year estimates (millions),0.0342,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
663,Saint Martin (French part),2005,Population density,646.1887,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
663,Saint Martin (French part),2010,Population mid-year estimates (millions),0.0376,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
663,Saint Martin (French part),2010,Population density,709.0943,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
663,Saint Martin (French part),2019,Population mid-year estimates (millions),0.0380,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
663,Saint Martin (French part),2019,Population density,717.0189,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2005,Population mid-year estimates (millions),0.0063,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2005,Population density,27.2217,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2006,Population mid-year estimates (millions),0.0063,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2006,Sex ratio (males per 100 females),98.1559,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
666,Saint Pierre and Miquelon,2006,Population aged 0 to 14 years old (percentage),19.0531,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
666,Saint Pierre and Miquelon,2006,Population aged 60+ years old (percentage),17.7796,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
666,Saint Pierre and Miquelon,2006,Population density,27.2174,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2010,Population mid-year estimates (millions),0.0063,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2010,Population density,27.2783,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2017,Population mid-year estimates (millions),0.0063,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2017,Population density,27.4783,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2017,Surface area (thousand km2),0.2420,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
666,Saint Pierre and Miquelon,2019,Population mid-year estimates (millions),0.0058,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
666,Saint Pierre and Miquelon,2019,Population density,25.3130,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2005,Population mid-year estimates (millions),0.1086,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2005,Population mid-year estimates for males (millions),0.0549,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2005,Population mid-year estimates for females (millions),0.0537,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2005,Sex ratio (males per 100 females),102.0969,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2005,Population aged 0 to 14 years old (percentage),28.5543,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2005,Population aged 60+ years old (percentage),9.3238,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2005,Population density,278.4974,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2010,Population mid-year estimates (millions),0.1083,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2010,Population mid-year estimates for males (millions),0.0551,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2010,Population mid-year estimates for females (millions),0.0532,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2010,Sex ratio (males per 100 females),103.6570,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2010,Population aged 0 to 14 years old (percentage),25.8334,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2010,Population aged 60+ years old (percentage),11.3085,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2010,Population density,277.5769,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Population mid-year estimates (millions),0.1098,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Population mid-year estimates for males (millions),0.0558,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Population mid-year estimates for females (millions),0.0540,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Sex ratio (males per 100 females),103.4380,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Population aged 0 to 14 years old (percentage),22.9424,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Population aged 60+ years old (percentage),13.6961,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Population density,281.6077,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2017,Surface area (thousand km2),0.3890,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
670,Saint Vincent & Grenadines,2019,Population mid-year estimates (millions),0.1106,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2019,Population mid-year estimates for males (millions),0.0561,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2019,Population mid-year estimates for females (millions),0.0545,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
670,Saint Vincent & Grenadines,2019,Sex ratio (males per 100 females),102.9378,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2019,Population aged 0 to 14 years old (percentage),22.1939,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2019,Population aged 60+ years old (percentage),14.3170,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
670,Saint Vincent & Grenadines,2019,Population density,283.5615,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2005,Population mid-year estimates (millions),0.1797,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2005,Population mid-year estimates for males (millions),0.0931,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2005,Population mid-year estimates for females (millions),0.0866,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2005,Sex ratio (males per 100 females),107.5480,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2005,Population aged 0 to 14 years old (percentage),39.6051,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2005,Population aged 60+ years old (percentage),6.8493,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2005,Population density,63.5078,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2010,Population mid-year estimates (millions),0.1859,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2010,Population mid-year estimates for males (millions),0.0960,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2010,Population mid-year estimates for females (millions),0.0900,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2010,Sex ratio (males per 100 females),106.6848,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2010,Population aged 0 to 14 years old (percentage),38.3089,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2010,Population aged 60+ years old (percentage),7.0923,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2010,Population density,65.7064,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2017,Population mid-year estimates (millions),0.1954,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2017,Population mid-year estimates for males (millions),0.1011,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2017,Population mid-year estimates for females (millions),0.0943,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2017,Sex ratio (males per 100 females),107.1731,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2017,Population aged 0 to 14 years old (percentage),38.5412,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2017,Population aged 60+ years old (percentage),7.3677,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2017,Population density,69.0290,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2017,Surface area (thousand km2),2.8418,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
882,Samoa,2019,Population mid-year estimates (millions),0.1971,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2019,Population mid-year estimates for males (millions),0.1020,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2019,Population mid-year estimates for females (millions),0.0951,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
882,Samoa,2019,Sex ratio (males per 100 females),107.2721,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2019,Population aged 0 to 14 years old (percentage),37.8641,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2019,Population aged 60+ years old (percentage),7.7941,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
882,Samoa,2019,Population density,69.6456,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2004,Population mid-year estimates (millions),0.0289,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2004,Sex ratio (males per 100 females),96.1838,Population statistics are compiled from registers.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2004,Population aged 0 to 14 years old (percentage),15.1798,Population statistics are compiled from registers.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2004,Population aged 60+ years old (percentage),21.5212,Population statistics are compiled from registers.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2004,Population density,481.1000,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2005,Population mid-year estimates (millions),0.0292,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2005,Sex ratio (males per 100 females),96.1412,Population statistics are compiled from registers.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2005,Population density,487.3333,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2010,Population mid-year estimates (millions),0.0311,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2010,Sex ratio (males per 100 females),93.5074,Provisional data.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2010,Population aged 0 to 14 years old (percentage),20.9317,Provisional data.;Population aged 0 to 20 years.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2010,Population aged 60+ years old (percentage),21.6103,Provisional data.;Population aged 61 years and over.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2010,Population density,518.5000,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2015,Population mid-year estimates (millions),0.0330,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2015,Sex ratio (males per 100 females),94.8709,Population statistics are compiled from registers.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2015,Population aged 0 to 14 years old (percentage),14.9653,Population statistics are compiled from registers.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2015,Population aged 60+ years old (percentage),24.0856,Population statistics are compiled from registers.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
674,San Marino,2015,Population density,549.3333,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2015,Surface area (thousand km2),0.0610,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
674,San Marino,2017,Population mid-year estimates (millions),0.0334,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2017,Population density,556.6667,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2017,Surface area (thousand km2),0.0610,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
674,San Marino,2019,Population mid-year estimates (millions),0.0339,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
674,San Marino,2019,Population density,564.3333,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2005,Population mid-year estimates (millions),0.1575,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2005,Population mid-year estimates for males (millions),0.0779,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2005,Population mid-year estimates for females (millions),0.0795,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2005,Sex ratio (males per 100 females),97.9933,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2005,Population aged 0 to 14 years old (percentage),43.9977,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2005,Population aged 60+ years old (percentage),4.6986,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2005,Population density,164.0333,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2010,Population mid-year estimates (millions),0.1804,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2010,Population mid-year estimates for males (millions),0.0902,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2010,Population mid-year estimates for females (millions),0.0902,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2010,Sex ratio (males per 100 females),99.9357,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2010,Population aged 0 to 14 years old (percentage),43.4066,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2010,Population aged 60+ years old (percentage),4.4048,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2010,Population density,187.8865,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2017,Population mid-year estimates (millions),0.2071,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2017,Population mid-year estimates for males (millions),0.1036,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2017,Population mid-year estimates for females (millions),0.1035,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2017,Sex ratio (males per 100 females),100.1295,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2017,Population aged 0 to 14 years old (percentage),42.8550,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
